fare_id,route_id,origin_id,destination_id
Fare150yen_00,1,6_2,3_2
Fare150yen_00,1,6_2,2_2
Fare150yen_00,1,6_2,1_1
Fare150yen_00,1,5_2,4_2
Fare150yen_00,1,5_2,3_2
Fare150yen_00,1,5_2,2_2
Fare150yen_00,1,5_2,1_1
Fare150yen_00,1,4_2,3_2
Fare150yen_00,1,4_2,2_2
Fare150yen_00,1,4_2,1_1
Fare150yen_00,1,3_2,2_2
Fare150yen_00,1,3_2,1_1
Fare150yen_00,1,2_2,1_1
Fare300yen_00,2,29_1,28_1
Fare300yen_00,2,29_1,27_1
Fare300yen_00,2,29_1,26_1
Fare300yen_00,2,29_1,25_1
Fare300yen_00,2,29_1,24_1
Fare300yen_00,2,29_1,23_1
Fare300yen_00,2,29_1,22_1
Fare300yen_00,2,29_1,21_1
Fare300yen_00,2,29_1,12_1
Fare300yen_00,2,29_1,20_1
Fare150yen_00,2,28_1,27_1
Fare150yen_00,2,28_1,26_1
Fare150yen_00,2,28_1,25_1
Fare150yen_00,2,28_1,24_1
Fare200yen_00,2,28_1,23_1
Fare250yen_00,2,28_1,22_1
Fare300yen_00,2,28_1,21_1
Fare300yen_00,2,28_1,12_1
Fare300yen_00,2,28_1,20_1
Fare150yen_00,2,27_1,26_1
Fare150yen_00,2,27_1,25_1
Fare150yen_00,2,27_1,24_1
Fare150yen_00,2,27_1,23_1
Fare200yen_00,2,27_1,22_1
Fare300yen_00,2,27_1,21_1
Fare300yen_00,2,27_1,12_1
Fare300yen_00,2,27_1,20_1
Fare150yen_00,2,26_1,25_1
Fare150yen_00,2,26_1,24_1
Fare150yen_00,2,26_1,23_1
Fare200yen_00,2,26_1,22_1
Fare250yen_00,2,26_1,21_1
Fare300yen_00,2,26_1,12_1
Fare300yen_00,2,26_1,20_1
Fare150yen_00,2,25_1,24_1
Fare150yen_00,2,25_1,23_1
Fare150yen_00,2,25_1,22_1
Fare250yen_00,2,25_1,21_1
Fare300yen_00,2,25_1,12_1
Fare300yen_00,2,25_1,20_1
Fare150yen_00,2,24_1,23_1
Fare150yen_00,2,24_1,22_1
Fare250yen_00,2,24_1,21_1
Fare300yen_00,2,24_1,12_1
Fare300yen_00,2,24_1,20_1
Fare150yen_00,2,23_1,22_1
Fare200yen_00,2,23_1,21_1
Fare300yen_00,2,23_1,12_1
Fare300yen_00,2,23_1,20_1
Fare150yen_00,2,22_1,21_1
Fare300yen_00,2,22_1,12_1
Fare300yen_00,2,22_1,20_1
Fare200yen_00,2,21_1,12_1
Fare300yen_00,2,21_1,20_1
Fare150yen_00,2,12_1,20_1
Fare150yen_00,2,20_1,12_2
Fare300yen_00,2,20_1,21_2
Fare300yen_00,2,20_1,22_2
Fare300yen_00,2,20_1,23_2
Fare300yen_00,2,20_1,24_2
Fare300yen_00,2,20_1,25_2
Fare300yen_00,2,20_1,26_2
Fare300yen_00,2,20_1,27_2
Fare300yen_00,2,20_1,28_1
Fare300yen_00,2,20_1,29_1
Fare200yen_00,2,12_2,21_2
Fare300yen_00,2,12_2,22_2
Fare300yen_00,2,12_2,23_2
Fare300yen_00,2,12_2,24_2
Fare300yen_00,2,12_2,25_2
Fare300yen_00,2,12_2,26_2
Fare300yen_00,2,12_2,27_2
Fare300yen_00,2,12_2,28_1
Fare300yen_00,2,12_2,29_1
Fare150yen_00,2,21_2,22_2
Fare200yen_00,2,21_2,23_2
Fare250yen_00,2,21_2,24_2
Fare250yen_00,2,21_2,25_2
